Rank,team,G,W,L,W-L%,SRS,SOS,Wconference,Lconference,Whome,Lhome,Waway,Laway,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
246,Purdue Fort Wayne,22,13,9,0.591,-5.54,-1.23,7,4,9,2,4,7,1769,1687,880,638,1366,0.467,225,635,0.354,268,374,0.717,180,681,329,199,80,215,338
247,Queens (NC),22,12,10,0.545,-4.21,-3.55,7,2,8,1,4,8,1843,1846,885,633,1337,0.473,230,653,0.352,347,470,0.738,239,754,357,113,65,246,439
248,Quinnipiac,22,14,8,0.636,-3.68,-5.26,7,4,8,2,6,6,1697,1604,885,614,1389,0.442,168,460,0.365,301,433,0.695,260,785,313,193,100,242,360
249,Radford,22,11,11,0.5,-7.97,-5.6,4,3,9,4,2,5,1797,1734,880,607,1337,0.454,215,632,0.34,368,517,0.712,254,778,302,167,80,273,409
250,Rhode Island,21,13,8,0.619,4.85,-0.44,4,4,7,4,4,2,1525,1414,845,522,1147,0.455,152,492,0.309,329,451,0.729,227,691,235,189,79,266,383
251,Rice,21,9,12,0.429,-5.64,0.1,3,5,5,6,3,5,1565,1556,850,530,1241,0.427,190,514,0.37,315,457,0.689,279,784,258,151,83,258,389
252,Richmond,22,13,9,0.591,4.34,-0.67,3,6,9,4,3,4,1743,1610,885,590,1294,0.456,196,523,0.375,367,487,0.754,212,787,324,167,53,226,387
253,Rider,19,2,17,0.105,-18.1,-2.54,1,9,2,6,0,11,1188,1436,760,433,1106,0.392,81,305,0.266,241,346,0.697,248,703,195,94,69,239,318
254,Robert Morris,23,14,9,0.609,-3.93,-4.55,6,6,9,3,5,6,1793,1710,945,653,1400,0.466,203,551,0.368,284,407,0.698,318,876,408,136,50,297,449
255,Rutgers,21,9,12,0.429,2.96,7.96,2,8,8,5,0,5,1473,1578,856,493,1213,0.406,139,432,0.322,348,474,0.734,252,728,225,132,76,223,358
256,Sacramento State,19,6,13,0.316,-9.82,0.81,2,5,6,1,0,12,1473,1561,765,484,1187,0.408,145,451,0.322,360,464,0.776,214,693,247,132,72,215,359
257,Sacred Heart,22,9,13,0.409,-11.62,-7.85,5,6,5,4,4,9,1660,1682,885,571,1310,0.436,239,657,0.364,279,364,0.766,244,769,335,147,49,280,338
