Name,ERA,IP,Age,FIP,xFIP,K_rate,BB_rate,K_9,BB_9,H_9,HR_9,last_name
Abraham Toro,18.0,1.0,28,6.09,9.07,0.0,0.125,0.0,9.0,36.0,0.0,Toro
Jacob Palisch,18.0,1.0,26,3.09,4.58,0.0,0.0,0.0,0.0,27.0,0.0,Palisch
Nathan Wiles,27.0,1.0,26,1.09,2.58,0.14300000000000002,0.0,9.0,0.0,36.0,0.0,Wiles
Jonathan Pintaro,27.0,0.2,27,9.09,9.09,0.16699999999999998,0.33299999999999996,13.5,27.0,27.0,0.0,Pintaro
Carlos Duran,81.0,0.1,23,30.09,34.56,0.0,0.6,0.0,81.0,27.0,0.0,Duran
Chris Flexen,2.5,39.2,30,4.68,5.0,0.121,0.076,4.31,2.72,6.81,1.13,Flexen
Anthony Banda,3.83,44.2,31,4.75,4.81,0.203,0.11800000000000001,7.66,4.43,7.25,1.21,Banda
Hayden Birdsong,4.8,65.2,23,4.92,4.89,0.228,0.124,9.32,5.07,8.36,1.37,Birdsong
Raisel Iglesias,4.99,39.2,35,4.23,3.52,0.27699999999999997,0.054000000000000006,10.44,2.04,8.85,1.82,Iglesias
Lou Trivino,4.42,38.2,33,5.01,5.07,0.172,0.077,6.75,3.03,9.31,1.4,Trivino
Easton Lucas,5.82,21.2,28,5.45,4.24,0.237,0.10800000000000001,9.14,4.15,8.72,2.08,Lucas
Jack Kochanowicz,6.03,94.0,24,5.55,4.83,0.156,0.10800000000000001,6.22,4.31,10.34,1.53,Kochanowicz
Justin Sterner,4.0,36.0,28,4.93,4.87,0.231,0.10300000000000001,9.0,4.0,7.25,1.5,Sterner
Kaleb Ort,5.4,28.1,33,4.79,4.33,0.243,0.113,8.89,4.13,6.99,1.59,Ort
Carlos Carrasco,5.91,32.0,38,5.31,4.47,0.17600000000000002,0.07,7.03,2.81,10.97,1.97,Carrasco
Matt Sauer,6.18,27.2,26,4.94,4.15,0.183,0.067,7.16,2.6,10.41,1.63,Sauer
Austin Warren,1.69,5.1,29,5.72,4.68,0.19,0.14300000000000002,6.75,5.06,5.06,1.69,Warren
Seth Johnson,3.38,8.0,26,5.09,3.52,0.242,0.061,9.0,2.25,6.75,2.25,Johnson
Cole Henry,3.44,36.2,25,5.17,5.47,0.213,0.11,8.59,4.42,7.36,1.23,Henry
Tyler Phillips,3.47,49.1,27,4.43,4.42,0.14800000000000002,0.07400000000000001,5.47,2.74,8.76,1.09,Phillips
Luis Mey,4.4,14.1,24,5.12,4.24,0.242,0.161,9.42,6.28,5.02,1.26,Mey
Cooper Criswell,5.06,10.2,28,5.44,4.96,0.094,0.057,4.22,2.53,13.5,1.69,Criswell
Tristan Beck,5.68,19.0,29,4.41,4.69,0.139,0.08900000000000001,5.21,3.32,8.05,0.95,Beck
Wade Miley,6.75,12.0,38,6.93,5.54,0.127,0.109,5.25,4.5,11.25,2.25,Miley
Kody Funderburk,6.92,13.0,28,5.09,4.47,0.145,0.081,6.23,3.46,13.15,1.38,Funderburk
Spencer Turnbull,7.11,6.1,32,5.78,5.84,0.121,0.121,5.68,5.68,17.05,1.42,Turnbull
Kendall Graveman,7.15,11.1,34,5.65,6.48,0.077,0.135,3.18,5.56,12.71,0.79,Graveman
Connor Phillips,7.2,5.0,24,6.49,6.87,0.174,0.174,7.2,7.2,9.0,1.8,Phillips
John Brebbia,7.71,18.2,35,5.29,5.6,0.215,0.11800000000000001,9.64,5.3,10.61,1.45,Brebbia
Sean Hjelle,7.71,14.0,28,5.09,4.51,0.162,0.11800000000000001,7.07,5.14,12.21,1.29,Hjelle
Carlos Rodriguez,8.1,3.1,23,5.49,8.18,0.111,0.222,5.4,10.8,13.5,0.0,Rodriguez
Jason Alexander,8.14,21.0,32,6.09,5.53,0.135,0.115,6.0,5.14,12.0,1.71,Alexander
Grant Wolfram,11.74,7.2,28,6.48,4.84,0.214,0.14300000000000002,10.57,7.04,15.26,2.35,Wolfram
Randy Dobnak,1.69,5.1,30,6.28,5.24,0.053,0.105,1.69,3.38,3.38,1.69,Dobnak
Corbin Martin,2.45,3.2,29,7.73,6.22,0.235,0.17600000000000002,9.82,7.36,4.91,2.45,Martin
